"REF_DATE","GEO","DGUID","Mortgages","Increases and decreases","TypeOfMortgage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","1150","","","","0"
"1995-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36474","1.2.12.1","5836","","","","0"
"1995-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","4921","","","","0"
"1995-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","915","","","","0"
"1995-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","5735","","","","0"
"1995-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","4951","","","","0"
"1995-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","728","","","","0"
"1995-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36474","1.2.12.1","6338","","","","0"
"1995-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","5323","","","","0"
"1995-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","1015","","","","0"
"1995-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","3550","","","","0"
"1995-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","1644","","","","0"
"1995-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","1905","","","","0"
"1995-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36474","1.2.12.1","3407","","","","0"
"1995-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","1550","","","","0"
"1995-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","1857","","","","0"
"1995-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","7422","","","","0"
"1995-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","2828","","","","0"
"1995-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","4594","","","","0"
"1995-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36474","1.2.12.1","6487","","","","0"
"1995-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","2622","","","","0"
"1995-10","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","3755","","","","0"
"1996-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","2498","","","","0"
"1996-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","1567","","","","0"
"1996-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","930","","","","0"
"1996-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36474","1.2.12.1","1786","","","","0"
"1996-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","900","","","","0"
"1996-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","886","","","","0"
"1996-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","3456","","","","0"
"1996-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","1499","","","","0"
"1996-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","1957","","","","0"
"1996-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36474","1.2.12.1","3393","","","","0"
"1996-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","1476","","","","0"
"1996-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","1917","","","","0"
"1996-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total mortgages","Dollars","81","millions","6","v36467","1.2.5.1","7898","","","","0"
"1996-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","2096","","","","0"
"1996-07","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","5776","","","","0"
