"REF_DATE","GEO","DGUID","Mortgages","Increases and decreases","Type of mortgage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Repayment of principal","Total, mortgages","Dollars","81","millions","6","v36472","1.2.10.1","1239","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Repayment of principal","Residential mortgages, insured","Dollars","81","millions","6","v36487","1.2.10.3","669","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Repayment of principal","Residential mortgages, uninsured","Dollars","81","millions","6","v36423","1.2.10.4","475","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Repayment of principal","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36438","1.2.10.6","71","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Repayment of principal","Non-residential, farm mortgages","Dollars","81","millions","6","v36453","1.2.10.7","25","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Sales of mortgages to","Total, mortgages","Dollars","81","millions","6","v36473","1.2.11.1","48","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Sales of mortgages to","Residential mortgages, insured","Dollars","81","millions","6","v36488","1.2.11.3","30","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Sales of mortgages to","Residential mortgages, uninsured","Dollars","81","millions","6","v36424","1.2.11.4","17","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Sales of mortgages to","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36439","1.2.11.6","1","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Sales of mortgages to","Non-residential, farm mortgages","Dollars","81","millions","6","v36454","1.2.11.7","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total, mortgages","Dollars","81","millions","6","v36474","1.2.12.1","46","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","29","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","17","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36440","1.2.12.6","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Non-residential, farm mortgages","Dollars","81","millions","6","v36455","1.2.12.7","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Total, mortgages","Dollars","81","millions","6","v36475","1.2.13.1","1","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Residential mortgages, insured","Dollars","81","millions","6","v36490","1.2.13.3","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36426","1.2.13.4","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36441","1.2.13.6","1","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Non-residential, farm mortgages","Dollars","81","millions","6","v36456","1.2.13.7","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Total, mortgages","Dollars","81","millions","6","v36476","1.2.14.1","1","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Residential mortgages, insured","Dollars","81","millions","6","v36491","1.2.14.3","1","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Residential mortgages, uninsured","Dollars","81","millions","6","v36427","1.2.14.4","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36442","1.2.14.6","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Non-residential, farm mortgages","Dollars","81","millions","6","v36457","1.2.14.7","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Other decreases","Total, mortgages","Dollars","81","millions","6","v36477","1.2.15.1","135","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Other decreases","Residential mortgages, insured","Dollars","81","millions","6","v36492","1.2.15.3","87","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Other decreases","Residential mortgages, uninsured","Dollars","81","millions","6","v36428","1.2.15.4","47","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Other decreases","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36443","1.2.15.6","1","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Other decreases","Non-residential, farm mortgages","Dollars","81","millions","6","v36458","1.2.15.7","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgage loans outside Canada outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36459","1.3.1.1","738","","","","0"
"1982-04","Canada","2016A000011124","Allowance for credit losses","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36462","1.4.1.1","17","","","","0"
"1982-07","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","31938","","","","0"
"1982-07","Canada","2016A000011124","Mortgages in Canada outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36463","1.2.1.1","31179","","","","0"
"1982-07","Canada","2016A000011124","Mortgages in Canada outstanding","Total, increases and decreases","Residential mortgages, insured","Dollars","81","millions","6","v36478","1.2.1.3","16837","","","","0"
"1982-07","Canada","2016A000011124","Mortgages in Canada outstanding","Total, increases and decreases","Residential mortgages, uninsured","Dollars","81","millions","6","v36493","1.2.1.4","11876","","","","0"
"1982-07","Canada","2016A000011124","Mortgages in Canada outstanding","Total, increases and decreases","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36429","1.2.1.6","1655","","","","0"
