"REF_DATE","GEO","DGUID","Rates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998-07","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.00","","","","2"
"1998-07","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.50","","","","2"
"1998-08","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.00","","","","2"
"1998-08","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.50","","","","2"
"1998-09","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.75","","","","2"
"1998-09","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.25","","","","2"
"1998-10","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.50","","","","2"
"1998-10","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.00","","","","2"
"1998-11","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.25","","","","2"
"1998-11","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.75","","","","2"
"1998-12","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.25","","","","2"
"1998-12","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.75","","","","2"
"1999-01","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.25","","","","2"
"1999-01","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.75","","","","2"
"1999-02","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.25","","","","2"
"1999-02","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.75","","","","2"
"1999-03","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.00","","","","2"
"1999-03","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.75","","","","2"
"1999-04","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.00","","","","2"
"1999-04","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.50","","","","2"
"1999-05","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.75","","","","2"
"1999-05","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.25","","","","2"
"1999-06","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.75","","","","2"
"1999-06","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.25","","","","2"
"1999-07","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.75","","","","2"
"1999-07","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.25","","","","2"
"1999-08","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.75","","","","2"
